Profile: Function timing, sorted by time
Date:    Wed Jan 26 00:11:30 2005


Program Statistics
------------------
    Command line at 2005 Jan 26 00:10: "D:\Games\QUAKE\qmb-V1" 
    Total time: 23034.221 millisecond
    Time outside of functions: 255.550 millisecond
    Call depth: 89
    Total functions: 1576
    Total hits: 30876687
    Function coverage: 42.0%
    Overhead Calculated 1224
    Overhead Average 1224

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 22778.671 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1576
    Hits in module: 30876687
    Module function coverage: 42.0%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
      13.064   0.1       14.192   0.1     6481 _IN_MouseMove (in_win.obj)
      13.023   0.1       13.023   0.1     6482 _R_AnimateLight (gl_rlight.obj)
      12.406   0.1      177.090   0.8    19524 _Draw_String (gl_draw.obj)
      12.314   0.1      580.264   2.5    19446 _Sbar_DrawNum (sbar.obj)
      12.307   0.1      100.885   0.4      332 _Con_DrawConsole (console.obj)
      12.219   0.1       23.219   0.1        1 _WINS_Init (net_wins.obj)
      11.937   0.1    12748.167  56.0     6482 _R_RenderScene (gl_rmain.obj)
      11.898   0.1       11.898   0.1    20544 _AngleVectors (mathlib.obj)
      11.129   0.0       12.646   0.1    10597 _AddFire (gl_rpart.obj)
      10.954   0.0       10.954   0.0        1 _WINS_OpenSocket (net_wins.obj)
      10.837   0.0     5516.849  24.2     6482 _R_DrawWorld (gl_rsurf.obj)
      10.121   0.0       10.121   0.0     6482 _DoGamma (gl_rmain.obj)
      10.067   0.0       10.067   0.0        1 _CDAudio_GetAudioDiskInfo (cd_win.obj)
      10.014   0.0       16.407   0.1    21453 _CL_ParseUpdate (cl_parse.obj)
       9.649   0.0      317.577   1.4     6482 _R_DrawViewModel (gl_rmain.obj)
       9.402   0.0        9.402   0.0    46864 _R_StoreEfrags (gl_refrag.obj)
       9.231   0.0        9.231   0.0     7603 _Q_memcpy (common.obj)
       9.068   0.0       15.769   0.1        1 _IN_Init (in_win.obj)
       8.795   0.0        8.795   0.0      187 _Sys_FileRead (sys_win.obj)
       8.778   0.0      941.542   4.1    23157 _R_DrawWaterChain (gl_warp.obj)
       8.545   0.0      273.209   1.2    45374 _Sbar_DrawFade (sbar.obj)
       8.280   0.0        8.528   0.0      544 _R_DrawSpriteModel (gl_sprite.obj)
       8.081   0.0      200.304   0.9    33488 _Draw_TransPic (gl_draw.obj)
       7.684   0.0        7.684   0.0   102480 _Cache_MakeLRU (zone.obj)
       7.664   0.0      417.300   1.8    70263 _TraceLineN (gl_rpart.obj)
       7.635   0.0        7.635   0.0    23157 _Surf_EnableLightmap (gl_renderworld.obj)
       7.632   0.0        8.091   0.0    88017 _jpeg_huff_decode (jdhuff.obj)
       7.545   0.0       33.718   0.1        1 _NET_Init (net_main.obj)
       7.436   0.0      213.783   0.9    38931 _R_LightPoint (gl_rlight.obj)
       7.291   0.0       76.411   0.3     6508 _Scr_ShowNumP (gl_screen.obj)
       7.244   0.0        7.300   0.0        1 _M_Init (menu.obj)
       7.111   0.0        7.111   0.0    20583 _Q_memset (common.obj)
       6.967   0.0        6.967   0.0      736 _fill_input_buffer (jdatasrc.obj)
       6.956   0.0      858.171   3.8    15743 _R_SetupAliasBlendedFrame (gl_mesh.obj)
       6.878   0.0        6.878   0.0    52711 _Q_strncmp (common.obj)
       6.676   0.0        6.676   0.0     1381 _Q_strlen (common.obj)
       6.676   0.0       64.001   0.3    62903 _S_LoadSound (snd_mem.obj)
       6.562   0.0       32.527   0.1     6482 _V_CalcRefdef (view.obj)
