Profile: Function timing, sorted by time
Date:    Mon May 17 15:57:30 2004


Program Statistics
------------------
    Command line at 2004 May 17 15:54: "D:\Games\QUAKE\qmb-V1" 
    Total time: 97571.555 millisecond
    Time outside of functions: 547.600 millisecond
    Call depth: 89
    Total functions: 1625
    Total hits: 6328576
    Function coverage: 34.8%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 97023.955 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1625
    Hits in module: 6328576
    Module function coverage: 34.8%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
      42.073   0.0      253.396   0.3     8274 _Sbar_DrawFade (sbar.obj)
      41.703   0.0       94.655   0.1     1028 _Z_Malloc (zone.obj)
      41.604   0.0       70.494   0.1     1182 _R_SetupFrame (gl_rmain.obj)
      40.556   0.0       44.601   0.0        2 _Mod_LoadMarksurfaces (gl_model.obj)
      40.113   0.0       40.113   0.0     1181 _CL_DecayLights (cl_main.obj)
      39.075   0.0       39.075   0.0     1182 _V_CalcBob (view.obj)
      38.765   0.0       65.468   0.1    12618 _Cache_FreeLow (zone.obj)
      38.195   0.0       38.195   0.0    27136 _CRC_ProcessByte (crc.obj)
      37.879   0.0      124.644   0.1    14401 _MSG_ReadAngle (common.obj)
      37.469   0.0       64.615   0.1     1252 _MainWndProc@16 (gl_vidnt.obj)
      36.717   0.0       58.513   0.1     7090 _MSG_WriteByte (common.obj)
      36.392   0.0       36.467   0.0        1 _WIPX_Shutdown (net_wipx.obj)
      36.379   0.0       35.706   0.0     1223 _SZ_Write (common.obj)
      33.187   0.0       68.305   0.1     1182 _Sbar_DrawInventory (sbar.obj)
      32.299   0.0       32.299   0.0     6671 _R_BlendedRotateForEntity (gl_rmain.obj)
      31.710   0.0       34.559   0.0       92 _Con_DrawInput (console.obj)
      31.105   0.0       31.105   0.0     1225 _GL_Set2D (gl_draw.obj)
      29.960   0.0       32.630   0.0     3816 _Sys_FloatTime (sys_win.obj)
      29.673   0.0     2594.859   2.7     1224 _SCR_DrawConsole (gl_screen.obj)
      29.286   0.0      439.374   0.5      967 _COM_FindFile (common.obj)
      28.414   0.0       26.196   0.0     2178 _CL_GetMessage (cl_demo.obj)
      27.990   0.0      155.177   0.2     4250 _R_DrawExtraChains (gl_rsurf.obj)
      27.395   0.0      422.739   0.4     3672 _Draw_String (gl_draw.obj)
      27.254   0.0       27.254   0.0        2 _IN_HideMouse (in_win.obj)
      26.767   0.0       26.767   0.0     2235 _StripLength (gl_mesh.obj)
      26.604   0.0       28.981   0.0      146 _Sys_FileOpenRead (sys_win.obj)
      25.932   0.0     3383.379   3.5     1182 _R_DrawEntitiesOnList (gl_rmain.obj)
      25.367   0.0       25.928   0.0        1 _IN_Init (in_win.obj)
      25.099   0.0       25.099   0.0     1182 _Draw_TileClear (gl_draw.obj)
      25.070   0.0      413.415   0.4    11394 _GL_CreateSurfaceLightmap (gl_rsurf.obj)
      24.132   0.0       33.895   0.0      131 _ResampleSfx (snd_mem.obj)
      24.047   0.0       31.137   0.0      457 _S_FindName (snd_dma.obj)
      20.680   0.0       20.680   0.0     2494 _Q_memcpy (common.obj)
      19.907   0.0       19.907   0.0    11853 _SZ_GetSpace (common.obj)
      19.647   0.0       19.647   0.0    77121 _FloatNoSwap (common.obj)
      19.639   0.0     8426.764   8.7       32 _Mod_LoadQ3Model (gl_md3.obj)
      19.151   0.0    26069.741  26.9     1225 _V_RenderView (view.obj)
